Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1620546109360043,00000288,false,Rx,0,8,27,10,4D,F5,00,00,01,00,
-1620546109359744,00000298,false,Rx,0,8,00,36,37,69,35,00,00,00,
-1620546109359360,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109358507,0000028B,false,Rx,0,8,27,10,4E,0B,00,00,01,00,
-1620546109358209,0000029B,false,Rx,0,8,00,36,37,69,35,0A,00,00,
-1620546109357995,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109350315,00000288,false,Rx,0,8,27,10,4D,85,00,00,01,00,
-1620546109350059,00000564,false,Rx,0,8,00,0A,00,00,00,00,00,00,
-1620546109349761,00000665,false,Rx,0,8,00,39,34,31,30,41,31,32,
-1620546109348865,0000028B,false,Rx,0,8,27,10,4D,D8,00,00,01,00,
-1620546109348566,0000056A,false,Rx,0,8,00,0A,00,00,00,00,00,00,
-1620546109348310,00000669,false,Rx,0,8,00,39,34,31,30,41,31,32,
-1620546109340331,00000288,false,Rx,0,8,27,10,4D,6C,00,00,01,00,
-1620546109340075,00000565,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109339819,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109338881,0000028B,false,Rx,0,8,27,10,4D,C5,00,00,01,00,
-1620546109338539,0000056B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109338326,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109330305,00000288,false,Rx,0,8,27,10,4D,6A,00,00,01,04,
-1620546109330049,0000056C,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109329793,00000666,false,Rx,0,8,01,3E,3A,B5,A7,00,00,00,
-1620546109328854,0000028B,false,Rx,0,8,27,10,4D,C0,00,00,01,04,
-1620546109328556,0000056F,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109328300,0000066A,false,Rx,0,8,01,55,EC,48,D8,00,00,00,
-1620546109320364,00000288,false,Rx,0,8,27,10,4D,71,00,00,01,04,
-1620546109320108,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109319852,0000075B,false,Rx,0,8,00,00,00,00,06,5B,A0,35,
-1620546109318870,0000028B,false,Rx,0,8,27,10,4D,C5,00,00,01,04,
-1620546109318572,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109318316,00000735,false,Rx,0,8,00,00,00,00,06,69,A0,36,
-1620546109310337,00000288,false,Rx,0,8,27,10,4D,74,00,00,01,04,
-1620546109308844,0000028B,false,Rx,0,8,27,10,4D,C5,00,00,01,04,
-1620546109300353,00000288,false,Rx,0,8,27,10,4D,77,00,00,01,04,
-1620546109300097,00000564,false,Rx,0,8,00,0A,00,00,00,00,00,00,
-1620546109299841,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109298860,0000028B,false,Rx,0,8,27,10,4D,C8,00,00,01,04,
-1620546109298561,0000056A,false,Rx,0,8,00,0A,00,00,00,00,00,00,
-1620546109298305,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109290327,00000288,false,Rx,0,8,27,10,4D,7C,00,00,01,04,
-1620546109290071,00000565,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109288876,0000028B,false,Rx,0,8,27,10,4D,CD,00,00,01,04,
-1620546109288578,0000056B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109280514,00000288,false,Rx,0,8,27,10,4D,7F,00,00,01,04,
-1620546109280258,0000056C,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109280002,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109278850,0000028B,false,Rx,0,8,27,10,4D,D3,00,00,01,04,
-1620546109278551,0000056F,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109278295,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109270317,00000288,false,Rx,0,8,27,10,4D,7F,00,00,01,04,
-1620546109268866,0000028B,false,Rx,0,8,27,10,4D,DB,00,00,01,04,
-1620546109260375,00000288,false,Rx,0,8,27,10,4D,7C,00,00,01,04,
-1620546109260119,00000298,false,Rx,0,8,00,36,37,69,35,00,00,00,
-1620546109259863,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109258882,0000028B,false,Rx,0,8,27,10,4D,E0,00,00,01,04,
-1620546109258583,0000029B,false,Rx,0,8,00,36,37,69,35,0A,00,00,
-1620546109258327,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109250349,00000288,false,Rx,0,8,27,10,4D,78,00,00,01,04,
-1620546109250093,00000564,false,Rx,0,8,00,0A,00,00,00,00,00,00,
-1620546109248856,0000028B,false,Rx,0,8,27,10,4D,E8,00,00,01,04,
-1620546109248557,0000056A,false,Rx,0,8,00,0A,00,00,00,00,00,00,
-1620546109240365,00000288,false,Rx,0,8,27,10,4D,73,00,00,01,04,
-1620546109240066,00000565,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109239853,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109238872,0000028B,false,Rx,0,8,27,10,4D,ED,00,00,01,04,
-1620546109238573,0000056B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109238317,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109230339,00000288,false,Rx,0,8,27,10,4D,72,00,00,01,04,
-1620546109230040,0000056C,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109228888,0000028B,false,Rx,0,8,27,10,4D,F5,00,00,01,04,
-1620546109228547,0000056F,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109220525,00000288,false,Rx,0,8,27,10,4D,74,00,00,01,04,
-1620546109220269,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109220013,0000075B,false,Rx,0,8,00,00,00,00,06,5B,A0,35,
-1620546109218861,0000028B,false,Rx,0,8,27,10,4D,FB,00,00,01,04,
-1620546109218563,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109218307,00000735,false,Rx,0,8,00,00,00,00,06,69,A0,36,
-1620546109210328,00000288,false,Rx,0,8,27,10,4D,77,00,00,01,04,
-1620546109208878,0000028B,false,Rx,0,8,27,10,4E,03,00,00,01,04,
-1620546109200387,00000288,false,Rx,0,8,27,10,4D,7B,00,00,01,04,
-1620546109200088,00000564,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546109199832,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109198851,0000028B,false,Rx,0,8,27,10,4E,08,00,00,01,04,
-1620546109198552,0000056A,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546109198339,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109190360,00000288,false,Rx,0,8,27,10,4D,7C,00,00,01,04,
-1620546109190104,00000565,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109188867,0000028B,false,Rx,0,8,27,10,4E,10,00,00,01,04,
-1620546109188568,0000056B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109180377,00000288,false,Rx,0,8,27,10,4D,7A,00,00,01,04,
-1620546109180078,0000056C,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109179779,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109178883,0000028B,false,Rx,0,8,27,10,4E,15,00,00,01,04,
-1620546109178585,0000056F,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109178329,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109170350,00000288,false,Rx,0,8,27,10,4D,76,00,00,01,04,
-1620546109168857,0000028B,false,Rx,0,8,27,10,4E,1D,00,00,01,04,
-1620546109160537,00000288,false,Rx,0,8,27,10,4D,71,00,00,01,04,
-1620546109160281,00000298,false,Rx,0,8,00,36,37,69,35,00,00,00,
-1620546109160025,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109158873,0000028B,false,Rx,0,8,27,10,4E,25,00,00,01,04,
-1620546109158574,0000029B,false,Rx,0,8,00,36,37,69,35,0A,00,00,
-1620546109158318,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109150297,00000288,false,Rx,0,8,27,10,4D,6C,00,00,01,04,
-1620546109149998,00000564,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546109148889,0000028B,false,Rx,0,8,27,10,4E,2B,00,00,01,04,
-1620546109148590,0000056A,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546109140356,00000288,false,Rx,0,8,27,10,4D,6B,00,00,01,04,
-1620546109140100,00000565,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109139844,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109138863,0000028B,false,Rx,0,8,27,10,4E,33,00,00,01,04,
-1620546109138564,0000056B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109138308,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109130372,00000288,false,Rx,0,8,27,10,4D,6D,00,00,01,04,
-1620546109130073,0000056C,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109128879,0000028B,false,Rx,0,8,27,10,4E,38,00,00,01,04,
-1620546109128580,0000056F,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109120346,00000288,false,Rx,0,8,27,10,4D,72,00,00,01,04,
-1620546109120090,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109119834,0000075B,false,Rx,0,8,00,00,00,00,06,5B,A0,35,
-1620546109118852,0000028B,false,Rx,0,8,27,10,4E,40,00,00,01,04,
-1620546109118596,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109118340,00000735,false,Rx,0,8,00,00,00,00,06,69,A0,36,
-1620546109110319,00000288,false,Rx,0,8,27,10,4D,77,00,00,01,04,
-1620546109108868,0000028B,false,Rx,0,8,27,10,4E,45,00,00,01,04,
-1620546109100506,00000288,false,Rx,0,8,27,10,4D,78,00,00,01,04,
-1620546109100250,00000564,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546109099994,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109098885,0000028B,false,Rx,0,8,27,10,4E,4D,00,00,01,04,
-1620546109098586,0000056A,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546109098330,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109090309,00000288,false,Rx,0,8,27,10,4D,77,00,00,01,04,
-1620546109090053,00000565,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109088858,0000028B,false,Rx,0,8,27,10,4E,53,00,00,01,04,
-1620546109088559,0000056B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109080368,00000288,false,Rx,0,8,27,10,4D,73,00,00,01,04,
-1620546109080112,0000056C,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109079856,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109078874,0000028B,false,Rx,0,8,27,10,4E,5B,00,00,01,04,
-1620546109078576,0000056F,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109078320,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109070341,00000288,false,Rx,0,8,27,10,4D,6E,00,00,01,04,
-1620546109068848,0000028B,false,Rx,0,8,27,10,4E,60,00,00,01,04,
-1620546109060357,00000288,false,Rx,0,8,27,10,4D,6C,00,00,01,04,
-1620546109060101,00000298,false,Rx,0,8,00,36,37,69,35,00,00,00,
-1620546109059845,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109058864,0000028B,false,Rx,0,8,27,10,4E,68,00,00,01,04,
-1620546109058608,0000029B,false,Rx,0,8,00,36,37,69,35,0A,00,00,
-1620546109058352,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109050331,00000288,false,Rx,0,8,27,10,4D,6E,00,00,01,04,
-1620546109050075,00000564,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546109048880,0000028B,false,Rx,0,8,27,10,4E,70,00,00,01,04,
-1620546109048581,0000056A,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546109040517,00000288,false,Rx,0,8,27,10,4D,72,00,00,01,04,
-1620546109040261,00000565,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109040005,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109038854,0000028B,false,Rx,0,8,27,10,4E,78,00,00,01,04,
-1620546109038598,0000056B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546109038342,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109030320,00000288,false,Rx,0,8,27,10,4D,75,00,00,01,04,
-1620546109029979,0000056C,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109028870,0000028B,false,Rx,0,8,27,10,4E,7B,00,00,01,04,
-1620546109028571,0000056F,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546109020379,00000288,false,Rx,0,8,27,10,4D,74,00,00,01,04,
-1620546109020123,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109019867,0000075B,false,Rx,0,8,00,00,00,00,06,5B,A0,35,
-1620546109018886,0000028B,false,Rx,0,8,27,10,4E,7D,00,00,01,04,
-1620546109018587,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546109018331,00000735,false,Rx,0,8,00,00,00,00,06,69,A0,36,
-1620546109010353,00000288,false,Rx,0,8,27,10,4D,71,00,00,01,04,
-1620546109008859,0000028B,false,Rx,0,8,27,10,4E,7B,00,00,01,04,
-1620546109000369,00000288,false,Rx,0,8,27,10,4D,6B,00,00,01,04,
-1620546109000070,00000564,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546108999857,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546108998875,0000028B,false,Rx,0,8,27,10,4E,78,00,00,01,04,
-1620546108998577,0000056A,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546108998321,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546108990342,00000288,false,Rx,0,8,27,10,4D,67,00,00,01,04,
-1620546108990044,00000565,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546108988892,0000028B,false,Rx,0,8,27,10,4E,73,00,00,01,04,
-1620546108988593,0000056B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546108980529,00000288,false,Rx,0,8,27,10,4D,67,00,00,01,04,
-1620546108980273,0000056C,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546108980017,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546108978865,0000028B,false,Rx,0,8,27,10,4E,6D,00,00,01,04,
-1620546108978609,0000056F,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546108978353,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546108970332,00000288,false,Rx,0,8,27,10,4D,69,00,00,01,04,
-1620546108968881,0000028B,false,Rx,0,8,27,10,4E,65,00,00,01,04,
-1620546108960348,00000288,false,Rx,0,8,27,10,4D,6D,00,00,01,04,
-1620546108960092,00000298,false,Rx,0,8,00,36,37,69,35,00,00,00,
-1620546108959879,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546108958855,0000028B,false,Rx,0,8,27,10,4E,60,00,00,01,04,
-1620546108958599,0000029B,false,Rx,0,8,00,36,37,69,35,0A,00,00,
-1620546108958343,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546108950364,00000288,false,Rx,0,8,27,10,4D,72,00,00,01,04,
-1620546108950108,00000564,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546108948871,0000028B,false,Rx,0,8,27,10,4E,58,00,00,01,04,
-1620546108948615,0000056A,false,Rx,0,8,00,0A,00,00,00,00,00,80,
-1620546108940380,00000288,false,Rx,0,8,27,10,4D,72,00,00,01,04,
-1620546108940082,00000565,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546108939826,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546108938887,0000028B,false,Rx,0,8,27,10,4E,53,00,00,01,04,
-1620546108938588,0000056B,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1620546108938332,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546108930311,00000288,false,Rx,0,8,27,10,4D,6F,00,00,01,04,
-1620546108930055,0000056C,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546108928861,0000028B,false,Rx,0,8,27,10,4E,4D,00,00,01,04,
-1620546108928605,0000056F,false,Rx,0,8,00,00,00,00,00,00,00,80,
-1620546108920370,00000288,false,Rx,0,8,27,10,4D,6B,00,00,01,04,
-1620546108920114,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546108919858,0000075B,false,Rx,0,8,00,00,00,00,06,5B,A0,35,
-1620546108918877,0000028B,false,Rx,0,8,27,10,4E,4D,00,00,01,04,
-1620546108918621,00000734,false,Rx,0,8,03,E8,03,E8,64,64,35,36,
-1620546108918365,00000735,false,Rx,0,8,00,00,00,00,06,69,A0,36,
-1620546108910301,00000288,false,Rx,0,8,27,10,4D,66,00,00,01,04,
