Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6852930,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
6862945,00000285,false,Tx,0,8,00,00,02,00,00,00,00,10,
6872972,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
6882876,00000285,false,Tx,0,8,00,00,03,3A,7E,00,08,10,
6892920,00000285,false,Tx,0,8,00,00,03,3A,7D,00,08,10,
6902945,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
6912827,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
6922868,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
6932900,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
6942976,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
6952811,00000285,false,Tx,0,8,00,00,03,3A,7A,00,08,10,
6962802,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
6972787,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
6982812,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
6992850,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
7002872,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
7012848,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
7022874,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
7032877,00000285,false,Tx,0,8,00,00,03,38,7B,00,08,10,
7042881,00000285,false,Tx,0,8,00,00,13,38,7B,00,08,10,
7052832,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
7062951,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
7072949,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
7082875,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
7092871,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
7102799,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
7112818,00000287,false,Tx,0,8,27,10,27,10,27,10,00,00,
7122877,00000285,false,Tx,0,8,00,00,14,38,8C,FE,0C,10,
7132875,00000285,false,Tx,0,8,00,00,14,38,8C,FE,0C,10,
7142787,00000285,false,Tx,0,8,00,00,14,38,8D,FE,0C,10,
7152806,00000285,false,Tx,0,8,00,00,14,38,8D,FE,0C,10,
7162802,00000287,false,Tx,0,8,27,FE,27,E4,27,10,03,00,
7173018,00000285,false,Tx,0,8,00,00,14,38,8E,FE,0C,10,
7183029,00000285,false,Tx,0,8,00,00,14,38,8F,FE,0C,10,
7192867,00000285,false,Tx,0,8,00,00,14,38,8F,FE,0C,10,
7202907,00000285,false,Tx,0,8,00,00,14,38,8F,FE,0C,10,
7212877,00000285,false,Tx,0,8,00,00,14,38,8F,FE,0C,10,
7222892,00000285,false,Tx,0,8,00,00,14,38,8F,FE,0C,10,
7232872,00000285,false,Tx,0,8,00,00,14,38,8F,FE,0C,10,
7242890,00000287,false,Tx,0,8,28,31,28,14,27,10,03,00,
7252905,00000285,false,Tx,0,8,00,00,14,38,8F,FE,0C,10,
7262945,00000287,false,Tx,0,8,28,4D,28,2E,27,10,03,00,
7272939,00000287,false,Tx,0,8,28,69,28,47,27,10,03,00,
7282998,00000287,false,Tx,0,8,28,7F,28,5C,27,10,03,00,
7292883,00000287,false,Tx,0,8,28,8F,28,6C,27,10,03,00,
7302891,00000285,false,Tx,0,8,00,00,14,38,90,FE,0C,10,
7312932,00000285,false,Tx,0,8,00,00,14,38,90,FE,0C,10,
7322956,00000285,false,Tx,0,8,00,00,14,38,91,FE,0C,10,
7333019,00000285,false,Tx,0,8,00,00,14,38,91,FE,0C,10,
7342956,00000285,false,Tx,0,8,00,00,14,38,91,FE,0C,10,
7352858,00000285,false,Tx,0,8,00,00,14,38,91,FE,0C,10,
7362862,00000285,false,Tx,0,8,00,00,14,38,91,FE,0C,10,
7372860,00000287,false,Tx,0,8,29,2E,29,06,27,10,03,00,
7382782,00000285,false,Tx,0,8,00,00,14,38,91,FE,0C,10,
7392782,00000287,false,Tx,0,8,29,3C,29,17,27,10,03,00,
7402802,00000287,false,Tx,0,8,29,41,29,23,27,10,03,00,
7412758,00000287,false,Tx,0,8,29,45,29,29,27,10,03,00,
7423005,00000287,false,Tx,0,8,29,46,29,2C,27,10,03,00,
7432901,00000287,false,Tx,0,8,29,45,29,2C,27,10,03,00,
7442968,00000287,false,Tx,0,8,29,42,29,2A,27,10,03,00,
7452979,00000285,false,Tx,0,8,00,00,14,38,90,FE,0C,10,
7462998,00000285,false,Tx,0,8,00,00,14,38,90,FE,0C,10,
7472938,00000287,false,Tx,0,8,29,0B,28,F5,27,10,03,00,
7482965,00000287,false,Tx,0,8,28,F5,28,E0,27,10,03,00,
7492940,00000287,false,Tx,0,8,28,CE,28,B9,27,10,03,00,
7502961,00000285,false,Tx,0,8,00,00,14,39,8F,FE,0C,10,
7512939,00000285,false,Tx,0,8,00,00,14,39,8F,FE,0C,10,
7522963,00000285,false,Tx,0,8,00,00,14,39,8F,FE,0C,10,
7532939,00000285,false,Tx,0,8,00,00,14,39,8F,FE,0C,10,
